S_no,furnished_status,facing,car_parking,type_of_ownership,booking_amount,buy_total_price
259,Semi-Furnished,North-East,,,,2900000
260,Semi-Furnished,North-East,,,,2850000
261,Semi-Furnished,East,3+,,,4900000
262,Unfurnished,West,0,,,2300000
263,Furnished,,,,,13000000
264,,East,1,,,3500000
265,Semi-Furnished,West,2,,,2999999
266,Furnished,North,1,,,6500000
268,Semi-Furnished,South,3+,,,3610000
272,Semi-Furnished,East,2,,,8000000
273,Semi-Furnished,East,3+,,,11500000
274,Semi-Furnished,East,,,,6700000
275,Furnished,North-East,,,,3650000
276,Unfurnished,,1,,,17900000
277,Unfurnished,North-East,,,,2900000
278,Unfurnished,South,1,,,3500000
279,Semi-Furnished,East,1,,,7500000
280,Semi-Furnished,,,,,17500000
281,Semi-Furnished,West,1,,,1749999
282,Furnished,East,1,,,3400000
283,Furnished,North-East,1,,,4500000
284,Furnished,East,3,,,12000000
285,Unfurnished,East,2,,,6000000
286,Semi-Furnished,East,2,,,4200000
287,Semi-Furnished,West,1,,,4700000
288,Semi-Furnished,,,,,6275000
289,Semi-Furnished,North-East,,,,4650000
290,Semi-Furnished,North-East,,,,2500000
291,Semi-Furnished,East,,,,6500000
292,Furnished,East,1,,,1850000
293,Furnished,,1,,,8200000
295,Furnished,East,1,,,8700000
296,Semi-Furnished,East,3+,,,13800000
297,Semi-Furnished,West,2,,,3500000
298,Semi-Furnished,South,0,,,5500000
299,Unfurnished,East,0,,,1000000
300,Furnished,,0,,,10000
301,Unfurnished,East,0,,,3500000
302,Unfurnished,North-East,0,,,1150000
303,Furnished,East,1,,,800000
304,Semi-Furnished,East,1,,,1849999
305,Unfurnished,North-East,0,,,3500000
306,Semi-Furnished,,,,,3600000
307,Furnished,North-East,3+,,,25000000
309,Unfurnished,,,,,5500000
310,Furnished,East,2,,,4700000
311,Furnished,East,3,,,4500000
312,Furnished,East,2,,,9900000
314,Semi-Furnished,North-East,,,,3950000
315,Semi-Furnished,,2,,,11000000
316,Semi-Furnished,East,2,,,9500000
317,Unfurnished,East,0,,,6600000
318,Semi-Furnished,North-East,,,,2975000
319,Semi-Furnished,North-East,,,,3600000
321,Semi-Furnished,North-East,1,,,6000000
322,Semi-Furnished,East,0,,,1550000
323,Furnished,,1,,,400000
324,Semi-Furnished,,3+,,,20000000
326,Unfurnished,,,,,3900000
327,Furnished,East,1,,,7900000
328,Semi-Furnished,,2,,,7000000
329,Semi-Furnished,East,3,,,6000000
330,Semi-Furnished,East,1,,,1949999
331,Unfurnished,West,,,,1600000
332,Unfurnished,,2,,,8500000
333,Semi-Furnished,North,1,,,9249999
334,Furnished,West,1,,,5499999
335,Unfurnished,North-West,3,,,6450000
336,Furnished,North-East,1,,,4150000
337,Furnished,West,1,,,4150000
338,Furnished,East,1,,,6500000
339,Semi-Furnished,North,1,,,8150000
340,Semi-Furnished,North,1,,,8000000
341,Semi-Furnished,East,2,,,5500000
342,Semi-Furnished,West,1,,,2449999
343,Furnished,West,0,,,42100000
344,Semi-Furnished,South-East,1,,,3500000
345,Unfurnished,,0,,,820000
346,Furnished,South,0,,,1650000
347,Semi-Furnished,East,1,,,4490022
348,Unfurnished,North,1,,,5300000
349,Semi-Furnished,North-East,1,,,3590022
350,Unfurnished,North,1,,,9000000
351,Furnished,,1,,,11000000
355,Semi-Furnished,East,1,,,11011000
357,Semi-Furnished,,2,,,5700000
359,Unfurnished,West,1,,,5500000
360,Unfurnished,North-East,1,,,6100000
361,Furnished,South,1,,,3600000
363,Unfurnished,West,2,,,2700000
364,Semi-Furnished,,,,,6000000
365,Furnished,South,2,,,6250000
366,Semi-Furnished,North,0,,,1700000
367,Unfurnished,North-East,1,,,3800000
369,Unfurnished,South-East,2,,,15000000
370,Unfurnished,East,3,,,27500000
371,Semi-Furnished,East,0,,,2000000
372,Semi-Furnished,North-West,1,,,12500000
373,Furnished,North,1,,,2900000
374,Semi-Furnished,West,,,,6000000
375,Semi-Furnished,South-East,2,,,8800000
376,Semi-Furnished,East,3+,,,18000000
377,Semi-Furnished,South-East,2,,,40000000
378,Unfurnished,,2,,,3500000
379,Unfurnished,North-East,0,,,3000000
380,Furnished,East,2,,,5500000
381,Furnished,East,2,,,13500000
382,Furnished,East,3,,,7900000
383,Semi-Furnished,North-East,3,,,5800000
384,Unfurnished,South-West,,,,3500000
385,Unfurnished,,0,,,4000000
386,Semi-Furnished,West,1,,,5500000
387,Semi-Furnished,East,1,,,9700000
388,Unfurnished,,1,,,6000000
389,Unfurnished,East,2,,,4500000
390,Furnished,East,1,,,17000000
391,Semi-Furnished,North,2,,,6700000
392,Semi-Furnished,North-East,3,,,24100000
393,Unfurnished,East,1,,,2850000
394,Semi-Furnished,East,,,,5000000
395,Semi-Furnished,,2,,,8500000
396,Semi-Furnished,East,1,,,4500000
397,Furnished,North-East,0,,,5500000
398,Semi-Furnished,East,0,,,4500000
399,Furnished,,,,,1700000
400,Furnished,South-West,2,,,3800000
401,Unfurnished,North-East,0,,,5300000
402,Furnished,West,2,,,6000000
403,,North-West,1,,,15500000
404,Furnished,East,,,,19500000
405,Furnished,East,2,,,8500000
406,Furnished,East,2,,,6800000
407,Furnished,East,1,,,6000000
408,Semi-Furnished,North-East,2,,,7000000
409,Semi-Furnished,East,0,,,3700000
410,Furnished,East,2,,,6900000
411,Furnished,East,2,,,7000000
412,Furnished,East,2,,,6200000
413,Furnished,East,2,,,5900000
414,Semi-Furnished,East,2,,,8200000
415,Furnished,East,2,,,4000000
416,Furnished,East,3,,,6900000
418,Semi-Furnished,West,1,,,6099000
419,Semi-Furnished,East,2,,,6499000
420,Semi-Furnished,East,2,,,4399000
421,Unfurnished,,1,,,5800000
422,Semi-Furnished,North,3+,,,12000
423,Furnished,East,2,,,7500000
424,Unfurnished,South,0,,,9200000
425,Unfurnished,,,,,3500000
426,Unfurnished,East,3,,,8000000
427,Semi-Furnished,East,1,,,1600000
428,Semi-Furnished,East,1,,,9000000
429,Furnished,North,1,,,3791000
430,Unfurnished,North,0,,,6000000
431,Semi-Furnished,North,1,,,15000
432,Semi-Furnished,East,1,,,14200000
433,Unfurnished,,,,,5000000
434,Semi-Furnished,East,1,,,24500000
435,Unfurnished,East,3,,,42000000
441,Semi-Furnished,East,2,,,4400000
442,Semi-Furnished,East,2,,,4398000
444,Semi-Furnished,,,,,32500000
445,Semi-Furnished,North,,,,3500000
446,Furnished,South-East,1,,,6100000
447,Semi-Furnished,East,2,,,2900000
448,Unfurnished,North,1,,,2700000
449,Semi-Furnished,East,1,,,4799999
450,Unfurnished,East,1,,,2000000
451,Semi-Furnished,East,2,,,19500000
452,Furnished,North-East,3+,,,48000000
454,Furnished,West,2,,,8000000
455,Semi-Furnished,North,,,,6000000
456,Semi-Furnished,West,,,,20000000
457,Semi-Furnished,,,,,7000000
458,Unfurnished,North,1,,,4700000
459,Semi-Furnished,West,1,,,15500000
461,Furnished,East,,,,3200000
462,Unfurnished,South-West,0,,,1750000
463,Furnished,South-West,0,,,2800000
464,Semi-Furnished,North-West,2,,,6800000
465,Furnished,North-East,1,,,150000000
466,Semi-Furnished,North-East,1,,,5800000
467,Semi-Furnished,West,1,,,4000000
468,,West,1,,,4800000
469,Semi-Furnished,South-East,1,,,4500000
470,Semi-Furnished,North,0,,,2500000
471,Unfurnished,,,,,2550000
472,Unfurnished,East,1,,,4000000
473,Unfurnished,East,1,,,5200000
474,Semi-Furnished,,0,,,5000000
475,Unfurnished,,0,,,2500000
476,Semi-Furnished,North,1,,,4000000
477,Semi-Furnished,North,0,,,4800000
479,Unfurnished,North,3+,,,2600000
480,Furnished,East,0,,,1800000
481,Furnished,,3+,,,200000000
482,Furnished,West,1,,,5700000
483,Semi-Furnished,South,,,,3800000
484,Furnished,North,0,,,4500000
486,Unfurnished,East,,,,4600000
487,Furnished,East,1,,,7200000
488,Furnished,West,1,,,1400000
489,Semi-Furnished,South-West,1,,,1800000
490,Semi-Furnished,North-East,2,,,6000000
491,Semi-Furnished,East,2,,,4900000
492,Semi-Furnished,East,3+,,,6500000
494,Unfurnished,South,0,,,2000000
495,Furnished,North-East,1,,,6200000
496,Furnished,,,,,7000000
497,Semi-Furnished,East,1,,,3800000
498,Unfurnished,West,0,,,2000000
503,Furnished,West,0,,,2200000
505,Semi-Furnished,East,1,,,6025000
506,Semi-Furnished,East,0,,,3300000
517,Semi-Furnished,West,2,,,6200000
518,Semi-Furnished,North-East,0,,,3800000
519,Semi-Furnished,East,1,,,35000000
520,Semi-Furnished,East,2,,,13000000
521,Furnished,West,1,,,9500000
522,Semi-Furnished,East,1,,,12500000
523,Semi-Furnished,North-East,1,,,13000000
525,Semi-Furnished,East,2,,,3500000
526,Semi-Furnished,North-West,2,,,27500000
527,Furnished,East,1,,,2750000
528,Furnished,North-East,1,,,8500000
529,Semi-Furnished,East,2,,,4600000
530,Unfurnished,East,0,,,2200000
532,Semi-Furnished,North-East,1,,,5850000
533,Semi-Furnished,South,0,,,1050000
534,Unfurnished,West,1,,,4700000
535,Furnished,West,2,,,7000000
536,Semi-Furnished,East,3+,,,26000000
537,Semi-Furnished,East,2,,,4500000
539,Semi-Furnished,North-East,1,,,4000000
540,Semi-Furnished,North-West,1,,,2800000
541,Semi-Furnished,North-West,0,,,2800000
542,Semi-Furnished,North-East,1,,,4800000
543,Semi-Furnished,North-East,0,,,2800000
544,Furnished,South,1,,,5700000
546,Semi-Furnished,North,0,,,12500000
547,Semi-Furnished,West,0,,,10000
548,Semi-Furnished,East,1,,,4699000
549,Semi-Furnished,South-East,1,,,6500000
550,Semi-Furnished,North,1,,,5100000
551,Semi-Furnished,,2,,,27500000
552,Furnished,North,1,,,3500000
553,Semi-Furnished,West,1,,,2850000
554,Semi-Furnished,East,1,,,3200000
556,Semi-Furnished,North-West,1,,,67000000
557,Semi-Furnished,East,0,,,2500000
560,Unfurnished,East,0,,,1500000
561,Furnished,East,0,,,3800000
562,Semi-Furnished,East,1,,,6000000
565,Semi-Furnished,North,0,,,3100000
566,Semi-Furnished,East,1,,,4600000
568,Semi-Furnished,East,1,,,6200000
569,Furnished,West,1,,,6500000
570,Unfurnished,North,1,,,25000000
571,Unfurnished,East,1,,,7300000
572,Semi-Furnished,North,1,,,4800000
574,Furnished,West,2,,,5500000
575,Semi-Furnished,South,0,,,3200000
576,Semi-Furnished,East,1,,,25000000
577,Semi-Furnished,West,0,,,4890000
578,Semi-Furnished,East,,,,1900000
580,Furnished,East,1,,,2475000
581,Semi-Furnished,East,1,,,2650000
582,Semi-Furnished,North,1,,,6800000
583,Semi-Furnished,East,1,,,2799000
584,Furnished,South-East,1,,,7500000
585,Furnished,West,1,,,4800000
587,Semi-Furnished,North-East,1,,,4500000
588,Furnished,West,1,,,5800000
589,Furnished,East,1,,,5800000
590,Semi-Furnished,South-West,1,,,10000000
591,Semi-Furnished,North-East,1,,,6700000
592,Semi-Furnished,West,1,,,8500000
593,Semi-Furnished,East,1,,,20000000
594,Unfurnished,North,0,,,4000000
595,Furnished,East,1,,,4200000
596,Unfurnished,East,0,,,2000000
597,Unfurnished,West,0,,,3200000
599,Unfurnished,East,0,,,8000000
600,Semi-Furnished,North,0,,,3599000
601,Furnished,North,1,,,3599000
602,Semi-Furnished,East,1,,,3399000
603,Unfurnished,North,3,,,8000000
604,,,0,,,5000000
607,Semi-Furnished,North,0,,,1600000
608,Semi-Furnished,North,1,,,7500000
610,Unfurnished,West,1,,,2500000
611,Unfurnished,,,,,1800000
612,Semi-Furnished,North-West,1,,,16500000
615,Semi-Furnished,South-West,2,,,8500000
616,Semi-Furnished,East,,,,2900000
618,Furnished,West,0,,,3250000
619,Semi-Furnished,East,1,,,3599000
622,Semi-Furnished,East,1,,,2800000
623,Semi-Furnished,East,0,,,2350000
624,Unfurnished,East,1,,,12000000
625,Semi-Furnished,North-East,2,,,4600000
626,Semi-Furnished,North-East,1,,,7283250
627,Semi-Furnished,East,1,,,4800000
630,Semi-Furnished,East,1,,,1999998
631,Furnished,East,1,,,2700000
633,Furnished,South,0,,,2000000
634,Furnished,North,1,,,8000000
635,Furnished,North-East,1,,,9500000
637,Semi-Furnished,West,0,,,3700000
638,Unfurnished,East,1,,,4700000
639,Semi-Furnished,East,0,,,5000000
641,Unfurnished,East,1,,,3500000
642,Furnished,North-East,0,,,1100000
643,Semi-Furnished,South-West,1,,,3200000
644,Furnished,East,1,,,4900000
645,Unfurnished,East,0,,,2400000
646,Furnished,East,1,,,1299999
648,Furnished,East,2,,,100000
649,Furnished,,,,,2650000
650,Furnished,,,,,4500000
651,Semi-Furnished,North-West,1,,,2550000
652,Semi-Furnished,East,2,,,18500000
653,Semi-Furnished,West,1,,,12500000
656,Furnished,East,0,,,1400000
657,Semi-Furnished,North-East,1,,,6950000
658,Semi-Furnished,North-East,1,,,11500000
659,Unfurnished,,0,,,20000
661,Semi-Furnished,South-West,1,,,3600000
236,Semi-Furnished,East,1,,,5500000
663,Furnished,East,1,,,3100000
664,Furnished,,1,,,14500000
665,Unfurnished,South-West,,,,6200000
666,Furnished,North,1,,,16000000
667,Semi-Furnished,West,2,,,16000000
669,Furnished,West,1,,,4250000
670,Furnished,South,0,,,4500000
671,,South-West,2,,,16000000
672,Furnished,North-East,2,,,4000000
673,Unfurnished,West,1,,,6600000
675,Furnished,East,1,,,4100000
676,Semi-Furnished,North-East,1,,,5699999
677,Furnished,North-East,0,,,2900000
678,Semi-Furnished,North-East,1,,,9400000
679,Semi-Furnished,East,1,,,16000000
681,Furnished,North,1,,,6000000
682,Furnished,West,2,,,70000000
683,Semi-Furnished,North-East,3+,,,12000
684,Unfurnished,East,0,,,2800000
685,Unfurnished,West,0,,,2050000
686,Unfurnished,West,0,,,32000000
688,Furnished,North-East,1,,,7200000
689,Semi-Furnished,South,0,,,3400000
