Sno_,carpetarea,status,floor,transaction_type,year_built,price_per_sqft
490,1100,Ready to Move,2,,,5455
491,1000,Ready to Move,2,,,4900
493,900,Ready to Move,1,,,6667
494,500,Ready to Move,2,,,4000
495,2000,Ready to Move,2,,,3100
496,2000,,,,,3500
497,80,Ready to Move,,,,47500
498,60,New Launch,1,,,33333
503,900,Ready to Move,1,,,2444
505,1026,Ready to Move,2,,,5872
506,725,Ready to Move,2,,,4552
517,700,Ready to Move,3,,,8857
518,700,Ready to Move,1,,,5429
519,135,Ready to Move,,,,259259
520,204,Ready to Move,,,,63725
521,2600,Ready to Move,2,,,3654
522,2317,,,,,5395
523,2250,Ready to Move,1,,,5778
524,1000,Ready to Move,1,,,4200
525,1000,Ready to Move,2,,,3500
526,2200,Ready to Move,1,,,12500
527,651,Ready to Move,1,,,4224
528,1250,Ready to Move,2,,,6800
529,1000,Ready to Move,2,,,4600
530,450,Under Construction,2,,,4889
531,1100,Under Construction,2,,,3636
532,900,Ready to Move,1,,,6500
533,230,Ready to Move,3,,,4565
534,800,Ready to Move,1,,,5875
535,156,Ready to Move,,,,44872
536,2500,New Launch,2,,,10400
537,1000,Under Construction,2,,,4500
538,1200,Ready to Move,2,,,3750
539,720,Ready to Move,1,,,5556
540,540,Ready to Move,1,,,5185
541,530,Ready to Move,1,,,5283
544,900,Ready to Move,2,,,6333
545,1000,Ready to Move,1,,,5500
546,2340,Ready to Move,1,,,5342
547,660,Ready to Move,3,,,15
548,900,Ready to Move,1,,,5221
549,1050,Ready to Move,2,,,6190
550,900,Ready to Move,1,,,5667
551,1250,Ready to Move,3,,,22000
552,80,Ready to Move,2,,,43750
553,750,New Launch,,,,3800
554,934,Ready to Move,1,,,3426
555,934,Ready to Move,1,,,4818
556,1500,Ready to Move,4,,,44667
557,450,Under Construction,1,,,5556
558,900,Ready to Move,3,,,7222
559,850,Ready to Move,1,,,2941
560,150,Under Construction,1,,,10000
561,160,Ready to Move,1,,,23750
562,1000,Ready to Move,2,,,6000
564,702,Ready to Move,1,,,5556
565,520,Ready to Move,1,,,5962
566,900,Ready to Move,2,,,5111
568,960,Under Construction,1,,,6458
569,750,Ready to Move,3,,,8667
570,165,Ready to Move,2,,,151515
571,1100,New Launch,1,,,6636
574,1485,Ready to Move,1,,,3704
575,375,Under Construction,3,,,8533
576,60,Under Construction,4,,,416667
577,680,Ready to Move,2,,,7191
578,600,Ready to Move,1,,,3167
579,935,Ready to Move,2,,,4278
580,600,Ready to Move,1,,,4125
581,85,Ready to Move,,,,31176
582,160,Ready to Move,,,,42500
583,810,New Launch,1,,,3456
584,1500,Ready to Move,1,,,5000
585,1000,Ready to Move,1,,,4800
586,1050,New Launch,2,,,7143
587,1250,Ready to Move,0,,,3600
588,900,Ready to Move,,,,6444
